spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms_energy,file
1152.7340545190125,1651.8252471797678,1918.6708135190215,-637.742,164.61441,53.104404,-5.998194,-3.2937531,10.338836,10.586833,4.562633,1.0894984,2.954073,6.022502,3.4955559,-2.8554134,0.008242788,01_eq_bell1_240_+0.wav
1010.9175722592872,1487.8971575127514,1725.777004076087,-588.2418,147.01503,61.078747,8.112711,2.1798973,10.609826,11.336143,5.105372,-0.23595873,0.08540393,2.5097055,0.04776983,-6.250253,0.016359923,01_eq_bell1_240_+12.wav
1110.4949435919575,1603.3749367918128,1872.4836531929348,-630.3883,164.78822,56.13416,-2.7531729,-1.5690479,11.16837,11.2025385,4.7727222,0.7397486,2.2152846,5.028763,2.3004422,-4.203409,0.00992868,01_eq_bell1_240_+4.wav
1063.1371355417723,1548.6703875433222,1817.8080417798913,-615.1596,159.55151,59.045437,1.8890013,0.18779084,11.3616905,11.5963,4.9740725,0.24927819,1.2796248,3.9191287,1.1321183,-5.4260063,0.012510585,01_eq_bell1_240_+8.wav
1261.6654986348103,1778.7940244615834,2041.9718070652175,-658.62177,163.10835,43.932014,-15.199933,-7.9174232,8.181871,8.988063,4.186148,2.3049726,5.15759,8.860567,6.8997254,0.9732827,0.005699385,01_eq_bell1_240_-12.wav
1191.2680480279926,1696.0261097017114,1966.7304262907608,-645.0416,164.49364,50.06638,-9.221297,-4.9614973,9.54275,9.981,4.3721466,1.4633435,3.6978438,7.0066648,4.684248,-1.5102996,0.007113411,01_eq_bell1_240_-4.wav
1226.969414365799,1737.4237032042856,2005.6150220788045,-651.79193,163.9075,47.02397,-12.262362,-6.5176086,8.79627,9.433577,4.2386117,1.8615857,4.430104,7.9558764,5.827405,-0.22114165,0.0063215033,01_eq_bell1_240_-8.wav
1152.7340545190125,1651.8252471797678,1918.6708135190215,-637.742,164.61441,53.104404,-5.998194,-3.2937531,10.338836,10.586833,4.562633,1.0894984,2.954073,6.022502,3.4955559,-2.8554134,0.008242788,01_eq_bell2_2500_+0.wav
1187.6177018642948,1473.4469137354724,1813.7510614809785,-618.7128,171.03438,33.504555,-17.556442,6.5454655,18.978405,5.0748425,-1.5599724,4.1592174,7.19058,4.411313,0.6520336,-2.026261,0.009057033,01_eq_bell2_2500_+12.wav
1162.2624785385526,1595.8986962764857,1883.4687075407608,-632.0342,166.54076,47.150127,-9.600244,-0.3156105,13.181437,9.087064,2.555268,1.7776785,4.276015,5.7683673,2.6896,-2.789859,0.008435011,01_eq_bell2_2500_+4.wav
1173.6889609716786,1535.842324159789,1849.1404127038045,-625.68396,168.65057,40.545536,-13.445536,3.0642366,16.112587,7.1933947,0.46669903,2.8334115,5.72052,5.2085633,1.7224486,-2.4950764,0.0086971065,01_eq_bell2_2500_+8.wav
1131.283543871892,1798.6575810298696,1943.948921535326,-652.24585,158.69214,66.68595,4.2892375,-8.012538,3.3430643,11.995986,8.9464245,1.1838789,0.41371468,5.2689233,4.738814,-1.9871039,0.00783154,01_eq_bell2_2500_-12.wav
1144.5194359829022,1704.1834995816205,1944.4482421875,-642.9591,162.73009,58.388657,-2.517283,-5.678836,7.6714187,11.600809,6.3766303,0.7833493,1.8234417,5.9836307,4.1207137,-2.702032,0.008091183,01_eq_bell2_2500_-4.wav
